angle,distFromStart,distRaced,fuel,gear,racePos,rpm,speedX,speedY,speedZ,trackPos,z,accel,brake,gear.1,steer,clutch,focus.1,meta
-0.2132068360382653,1.7314328503195449,-1.6362031683007237,1.7140320391069723,-3.4898491333254533,0.0,-5.234136985708648,-3.4532696537352296,-0.2146691790428934,0.10779559665917393,0.6063083978823699,1.377798794696928,0.76179898308662,-0.12480295985648515,-2.527032465743786,0.11659112359982754,0.0,0.0,0.0
-0.2132068360382653,1.7314328503195449,-1.6362031683007237,1.7140320391069723,-3.4898491333254533,0.0,-5.234136985708648,-3.4532696537352296,-0.2146691790428934,0.10779559665917393,0.6063083978823699,1.377798794696928,0.76179898308662,-0.12480295985648515,-2.527032465743786,0.11659112359982754,0.0,0.0,0.0
-0.2132068360382653,1.7314328503195449,-1.6362031683007237,1.7140320391069723,-3.4898491333254533,0.0,-5.11524662528038,-3.4532696537352296,-0.2146691790428934,0.10779559665917393,0.6063083978823699,1.377798794696928,0.76179898308662,-0.12480295985648515,-2.527032465743786,0.11659112359982754,0.0,0.0,0.0
-0.2132068360382653,1.7314328503195449,-1.6362031683007237,1.7139340984706055,-3.4898491333254533,0.0,-4.992011944862817,-3.4532696537352296,-0.2146691790428934,0.10779559665917393,0.6063083978823699,1.377798794696928,0.76179898308662,-0.12480295985648515,-2.527032465743786,0.11659112359982754,0.0,0.0,0.0
-0.2132068360382653,1.7314328503195449,-1.6362031683007237,1.7138361578342385,-3.4898491333254533,0.0,-4.865199677768909,-3.4532696537352296,-0.2146691790428934,0.10779559665917393,0.6063083978823699,1.377798794696928,0.76179898308662,-0.12480295985648515,-2.527032465743786,0.11659112359982754,0.0,0.0,0.0
-0.2132068360382653,1.7314328503195449,-1.6362031683007237,1.7137382171978854,-3.4898491333254533,0.0,-4.734711911100147,-3.4532696537352296,-0.2146691790428934,0.10779559665917393,0.6063083978823699,1.377798794696928,0.76179898308662,-0.12480295985648515,-2.527032465743786,0.11659112359982754,0.0,0.0,0.0
-0.2132068360382653,1.7314328503195449,-1.6362031683007237,1.7137382171978854,-3.4898491333254533,0.0,-4.600435668435172,-3.4532696537352296,-0.2146691790428934,0.10779559665917393,0.6063083978823699,1.377798794696928,0.76179898308662,-0.12480295985648515,-2.527032465743786,0.11659112359982754,0.0,0.0,0.0
-0.2132068360382653,1.7314328503195449,-1.6362031683007237,1.7136402765615186,-3.4898491333254533,0.0,-4.462257973352625,-3.4532696537352296,-0.2146691790428934,0.10779559665917393,0.6063083978823699,1.377798794696928,0.76179898308662,-0.12480295985648515,-2.527032465743786,0.11659112359982754,0.0,0.0,0.0
-0.2132068360382653,1.7314328503195449,-1.6362031683007237,1.7135423359251516,-3.4898491333254533,0.0,-4.319764578974194,-3.4532696537352296,-0.2146691790428934,0.10779559665917393,0.6063083978823699,1.377798794696928,0.76179898308662,-0.12480295985648515,-2.527032465743786,0.11659112359982754,0.0,0.0,0.0
-0.2132068360382653,1.7314328503195449,-1.6362031683007237,1.7134443952887846,-3.4898491333254533,0.0,-4.166824631500838,-3.4532696537352296,-0.2146691790428934,0.10779559665917393,0.6063083978823699,1.377798794696928,0.76179898308662,-0.12480295985648515,-2.527032465743786,0.11659112359982754,0.0,0.0,0.0
