angle,curLapTime,damage,distFromStart,distRaced,focus,fuel,gear,lastLapTime,opponents,racePos,rpm,speedX,speedY,speedZ,track,trackPos,wheelSpinVel,z,parser,actions,accel,brake,gear,steer,clutch,focus,meta
-0.0133688,-0.782,0,4183.37,0,"[-1.0, -1.0, -1.0, -1.0, -1.0]",93.9996,0,0,"[200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0]",1,2014.91,-0.00167518,0.00186722,0.00297884,"[4.00035, 4.12669, 4.58383, 5.58272, 7.81963, 11.2818, 14.7216, 21.4134, 39.8145, 200.0, 108.356, 49.8544, 32.5358, 24.2846, 16.3808, 11.468, 9.3103, 8.31273, 8.00072]",0.333334,"[0.0, 0.0, 0.0, 0.0]",0.345268,<msgParser.MsgParser object at 0x0000029B81458D60>,"{'accel': [0.7], 'brake': [0], 'gear': [1], 'steer': [0], 'clutch': [0.0], 'focus': [0], 'meta': [0]}",0.7,0,1,0,0,0,0
-0.0133688,-0.762,0,4183.37,0,"[-1.0, -1.0, -1.0, -1.0, -1.0]",93.9995,0,0,"[200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0]",1,2145.56,-0.00167518,0.00186722,0.00297884,"[4.00035, 4.12669, 4.58383, 5.58272, 7.81963, 11.2818, 14.7216, 21.4134, 39.8145, 200.0, 108.356, 49.8544, 32.5358, 24.2846, 16.3808, 11.468, 9.3103, 8.31273, 8.00072]",0.333334,"[0.0, 0.0, 0.0, 0.0]",0.345268,<msgParser.MsgParser object at 0x0000029B81458D60>,"{'accel': [0.7], 'brake': [0], 'gear': [1], 'steer': [0], 'clutch': [0.0], 'focus': [0], 'meta': [0]}",0.7,0,1,0,0,0,0
-0.0133688,-0.742,0,4183.37,0,"[-1.0, -1.0, -1.0, -1.0, -1.0]",93.9995,0,0,"[200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0]",1,2282.69,-0.00167518,0.00186722,0.00297884,"[4.00035, 4.12669, 4.58383, 5.58272, 7.81963, 11.2818, 14.7216, 21.4134, 39.8145, 200.0, 108.356, 49.8544, 32.5358, 24.2846, 16.3808, 11.468, 9.3103, 8.31273, 8.00072]",0.333334,"[0.0, 0.0, 0.0, 0.0]",0.345268,<msgParser.MsgParser object at 0x0000029B81458D60>,"{'accel': [0.7], 'brake': [0], 'gear': [1], 'steer': [0], 'clutch': [0.0], 'focus': [0], 'meta': [0]}",0.7,0,1,0,0,0,0
-0.0133688,-0.722,0,4183.37,0,"[-1.0, -1.0, -1.0, -1.0, -1.0]",93.9994,0,0,"[200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0]",1,2427.81,-0.00167518,0.00186722,0.00297884,"[4.00035, 4.12669, 4.58383, 5.58272, 7.81963, 11.2818, 14.7216, 21.4134, 39.8145, 200.0, 108.356, 49.8544, 32.5358, 24.2846, 16.3808, 11.468, 9.3103, 8.31273, 8.00072]",0.333334,"[0.0, 0.0, 0.0, 0.0]",0.345268,<msgParser.MsgParser object at 0x0000029B81458D60>,"{'accel': [0.7], 'brake': [0], 'gear': [1], 'steer': [0], 'clutch': [0.0], 'focus': [0], 'meta': [0]}",0.7,0,1,0,0,0,0
-0.0133688,-0.702,0,4183.37,0,"[-1.0, -1.0, -1.0, -1.0, -1.0]",93.9993,0,0,"[200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0]",1,2581.36,-0.00167518,0.00186722,0.00297884,"[4.00035, 4.12669, 4.58383, 5.58272, 7.81963, 11.2818, 14.7216, 21.4134, 39.8145, 200.0, 108.356, 49.8544, 32.5358, 24.2846, 16.3808, 11.468, 9.3103, 8.31273, 8.00072]",0.333334,"[0.0, 0.0, 0.0, 0.0]",0.345268,<msgParser.MsgParser object at 0x0000029B81458D60>,"{'accel': [0.7], 'brake': [0], 'gear': [1], 'steer': [0], 'clutch': [0.0], 'focus': [0], 'meta': [0]}",0.7,0,1,0,0,0,0
-0.0133688,-0.682,0,4183.37,0,"[-1.0, -1.0, -1.0, -1.0, -1.0]",93.9992,0,0,"[200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0]",1,2743.77,-0.00167518,0.00186722,0.00297884,"[4.00035, 4.12669, 4.58383, 5.58272, 7.81963, 11.2818, 14.7216, 21.4134, 39.8145, 200.0, 108.356, 49.8544, 32.5358, 24.2846, 16.3808, 11.468, 9.3103, 8.31273, 8.00072]",0.333334,"[0.0, 0.0, 0.0, 0.0]",0.345268,<msgParser.MsgParser object at 0x0000029B81458D60>,"{'accel': [0.7], 'brake': [0], 'gear': [1], 'steer': [0], 'clutch': [0.0], 'focus': [0], 'meta': [0]}",0.7,0,1,0,0,0,0
-0.0133688,-0.662,0,4183.37,0,"[-1.0, -1.0, -1.0, -1.0, -1.0]",93.9991,0,0,"[200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0]",1,2915.51,-0.00167518,0.00186722,0.00297884,"[4.00035, 4.12669, 4.58383, 5.58272, 7.81963, 11.2818, 14.7216, 21.4134, 39.8145, 200.0, 108.356, 49.8544, 32.5358, 24.2846, 16.3808, 11.468, 9.3103, 8.31273, 8.00072]",0.333334,"[0.0, 0.0, 0.0, 0.0]",0.345268,<msgParser.MsgParser object at 0x0000029B81458D60>,"{'accel': [0.7], 'brake': [0], 'gear': [1], 'steer': [0], 'clutch': [0.0], 'focus': [0], 'meta': [0]}",0.7,0,1,0,0,0,0
-0.0133688,-0.642,0,4183.37,0,"[-1.0, -1.0, -1.0, -1.0, -1.0]",93.9989,0,0,"[200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0]",1,3097.07,-0.00167518,0.00186722,0.00297884,"[4.00035, 4.12669, 4.58383, 5.58272, 7.81963, 11.2818, 14.7216, 21.4134, 39.8145, 200.0, 108.356, 49.8544, 32.5358, 24.2846, 16.3808, 11.468, 9.3103, 8.31273, 8.00072]",0.333334,"[0.0, 0.0, 0.0, 0.0]",0.345268,<msgParser.MsgParser object at 0x0000029B81458D60>,"{'accel': [0.7], 'brake': [0], 'gear': [1], 'steer': [0], 'clutch': [0.0], 'focus': [0], 'meta': [0]}",0.7,0,1,0,0,0,0
-0.0133688,-0.622,0,4183.37,0,"[-1.0, -1.0, -1.0, -1.0, -1.0]",93.9988,0,0,"[200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0]",1,3288.29,-0.00167518,0.00186722,0.00297884,"[4.00035, 4.12669, 4.58383, 5.58272, 7.81963, 11.2818, 14.7216, 21.4134, 39.8145, 200.0, 108.356, 49.8544, 32.5358, 24.2846, 16.3808, 11.468, 9.3103, 8.31273, 8.00072]",0.333334,"[0.0, 0.0, 0.0, 0.0]",0.345268,<msgParser.MsgParser object at 0x0000029B81458D60>,"{'accel': [0.7], 'brake': [0], 'gear': [1], 'steer': [0], 'clutch': [0.0], 'focus': [0], 'meta': [0]}",0.7,0,1,0,0,0,0
-0.0133688,-0.602,0,4183.37,0,"[-1.0, -1.0, -1.0, -1.0, -1.0]",93.9986,0,0,"[200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0]",1,3487.84,-0.00167518,0.00186722,0.00297884,"[4.00035, 4.12669, 4.58383, 5.58272, 7.81963, 11.2818, 14.7216, 21.4134, 39.8145, 200.0, 108.356, 49.8544, 32.5358, 24.2846, 16.3808, 11.468, 9.3103, 8.31273, 8.00072]",0.333334,"[0.0, 0.0, 0.0, 0.0]",0.345268,<msgParser.MsgParser object at 0x0000029B81458D60>,"{'accel': [0.7], 'brake': [0], 'gear': [1], 'steer': [0], 'clutch': [0.0], 'focus': [0], 'meta': [0]}",0.7,0,1,0,0,0,0
